url,name,region,length,elevation,hp,currentrating,ratingcount,features,excerpt
https://www.wta.org/go-hiking/hikes/heart-o-the-forest,Heart O' the Forest,Olympic Peninsula -- Northern Coast,"4.8 miles, roundtrip",500,1900.0,3.00,"
                      (2 votes)
                    ","['Wildflowers/Meadows', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']","
            This trail is a really nice accompaniment to your morning coffee, but bring a thermos -- it's long enough that the coffee might get cold by the time you reach the end!
        "
https://www.wta.org/go-hiking/hikes/peabody-creek-trail,Peabody Creek Trail,Olympic Peninsula -- Northern Coast,"5.6 miles, roundtrip",800,1100.0,3.50,"
                      (4 votes)
                    ","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids', 'Rivers']","
            Found on the outskirts of Port Angeles, the Peabody Creek Trail starts out from the Olympic National Park Visitors Center and follows Peabody Creek through a quiet wooded ravine for 2.8 miles. It’s an excellent short hike for visitors, locals, and trail runners alike.
        "
https://www.wta.org/go-hiking/hikes/o-o-denny-park,O. O. Denny Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.2 miles, roundtrip",200,220.0,2.00,"
                      (1 vote)
                    ","['Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']","
            The O O Denny County Park has history, hiking and old-growth trees all within the city of Kirkland. See wildlife wandering through the trees, swimming in the creek and flying high in the sky.
        "
https://www.wta.org/go-hiking/hikes/number-two-canyon-trails,Number Two Canyon Trails,Central Washington -- Wenatchee,8.0 miles of trails,1600,,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Dogs allowed on leash']","
            The Number Two Canyon Trails are part of the No. 2 Canyon Project to connect No. 2 Canyon with the Sage Hills and Horse Lake Reserve trails which are part of the Chelan-Douglas Land Trust. While this trail is mostly used by mountain bikers, it is open to hikers and equestrians as well.
        "
https://www.wta.org/go-hiking/hikes/mickinnick-trail,Mickinnick Trail,Eastern Washington -- Spokane Area/Coeur d'Alene,"7.0 miles, roundtrip",2150,4300.0,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Old growth', 'Dogs allowed on leash']","
            This steep hike near Sandpoint has exceptional views and native plant life. Make your way past meadows, around massive rocky outcroppings and beneath towering old growth timber to marvelous views.
        "
https://www.wta.org/go-hiking/hikes/big-tree-ridge,Big Tree Ridge,Issaquah Alps -- Cougar Mountain,"4.2 miles, roundtrip",1340,1430.0,3.20,"
                      (5 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Ridges/passes']","
            This is the most direct entry to Cougar Mountain Regional Wildland Park from Seattle, Issaquah and Bellevue. WTA has done lots of work on Cougar Mountain since 2009, but signage may not be entirely up-to-date.
        "
https://www.wta.org/go-hiking/hikes/suiattle-river-trail,Suiattle River Trail,North Cascades -- Mountain Loop Highway,"13.8 miles, roundtrip",900,2500.0,3.67,"
                      (3 votes)
                    ","['Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']","
            The trail winds its way above the Suiattle River through old-growth forest and some mature forest recovering from an old burn from the 1920’s. The vegetation in the upper Suiattle watershed includes a wonderful mixture of west-of-the-crest/east-fo-the-crest species. 
        "
https://www.wta.org/go-hiking/hikes/poo-poo-point,Poo Poo Point ,Issaquah Alps -- Tiger Mountain,"7.2 miles, roundtrip",1858,2021.0,3.80,"
                      (109 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs allowed on leash']","
            Hike railroad grades dating from the logging era. Cross many small creeks, some of them seasonal. Pass tall trees draped with moss. Enjoy ferns and, in season, forest wildflowers and a few wild berries. Reach a fine viewpoint that's also a favorite launching spot for paragliders.


        "
https://www.wta.org/go-hiking/hikes/poe-mountain-via-little-wenatchee-campground,Poe Mountain via Little Wenatchee Campground,Central Cascades -- Stevens Pass - East,"6.0 miles, roundtrip",,,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Summits', 'Established campsites', 'Ridges/passes']","
            Three thousand feet in three miles make the Little Wenatchee a substantial albeit relatively short hike for exercise provided. The trail was the primary supply route to the old Poe Mountain lookout, and like many lookout access trails wastes no time in getting to the top. But it is well built, switchbacking up the hill. The first two-thirds of the hike are in light tree cover, so the views come as a surprise when you get to them.
        "
https://www.wta.org/go-hiking/hikes/packwood-lake,Packwood Lake,South Cascades -- Goat Rocks,"10.0 miles, roundtrip",600,3200.0,3.97,"
                      (31 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Good for kids', 'Lakes', 'Rivers']","
            When most of Washington’s alpine lakes are still snow-covered, Packwood Lake rewards hikers with a relaxing early-season hike ideal for dusting off your boots.
        "
https://www.wta.org/go-hiking/hikes/tiffany-mountain,Tiffany Mountain via Freezeout Ridge,North Cascades -- Pasayten,"4.2 miles, roundtrip",1685,8245.0,4.18,"
                      (11 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Good for kids', 'Ridges/passes']","
            Start at one of the higher trailheads in the state (6560 feet) and follow the trail even higher. In early summer, if the thinner air doesn't take your breath away, the flowers and views will.
        "
https://www.wta.org/go-hiking/hikes/pipestone-canyon-rim-trail,Pipestone Canyon Rim Trail,North Cascades -- Methow/Sawtooth,"9.0 miles, roundtrip",1700,,4.00,"
                      (2 votes)
                    ","['Wildflowers/Meadows', 'Wildlife']","
            Explore a scenic and incredibly varied landscape near Winthrop where you are almost certainly guaranteed to see some of the region’s abundant wildlife.
        "
https://www.wta.org/go-hiking/hikes/lookout-mountain-lookout-okanogan,Lookout Mountain Lookout - Methow,North Cascades -- Methow/Sawtooth,"2.6 miles, roundtrip",1100,5518.0,4.33,"
                      (6 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Summits']","
            This scenic hike can be done in under two hours, and along the way you'll enjoy panoramic views, lush forest, wildflowers, and a historic lookout tower that ups the coolness factor.
        "
https://www.wta.org/go-hiking/hikes/old-sauk,Old Sauk River Trail,North Cascades -- Mountain Loop Highway,"6.0 miles, roundtrip",150,800.0,2.88,"
                      (26 votes)
                    ","['Wildlife', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']","
            Take a hike within sight and sound of the wild Sauk River--part of the Skagit Wild and Scenic River System established to maintain the free flowing nature of Washington's rivers. You'll wander through a forest of moss-covered maple, cedar and fir, listening for wildlife and the sound of the river.
        "
https://www.wta.org/go-hiking/hikes/white-chuck-mountain,White Chuck Mountain,North Cascades -- Mountain Loop Highway,"4.0 miles, roundtrip",2100,6989.0,3.33,"
                      (3 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Summits', 'Ridges/passes']","
            White Chuck Mountain (Northwest Route) is a Class III scramble that requires basic gear, route finding skills, and extreme caution to negotiate successfully and safely. Those who make the hour long trek down a gravel road, deal with a bit of overgrowth and route finding, and brave the scree and chossy rock will be significantly rewarded with phenomenal views of Thornton Lake and nearby peaks Pugh, Sloan and Glacier
        "
https://www.wta.org/go-hiking/hikes/big-four-ice-caves,Big Four Ice Caves,North Cascades -- Mountain Loop Highway,"2.2 miles, roundtrip",220,1938.0,3.94,"
                      (95 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']","
            This is an easy walk on a wide gravel and boardwalk path to views of Big Four Mountain and the caves beneath the snow. Hikers of all ages and abilities can enjoy this trail.
        "
https://www.wta.org/go-hiking/hikes/thornton-lakes-and-trappers-peak,Thornton Lakes and Trappers Peak,North Cascades -- North Cascades Highway - Hwy 20,"10.2 miles, roundtrip",2900,5000.0,4.36,"
                      (22 votes)
                    ","['Mountain views', 'Dogs not allowed', 'Summits', 'Lakes']","
            Incredible views and beautiful alpine lakes are your reward if you can ascend this steep trail in the North Cascades. At the top, you can choose between taking in sweeping panoramic views of North Cascades National Park and the Pickets Range, or relaxing near the lowest of the Thornton Lakes, both of which make a rewarding destination.
        "
https://www.wta.org/go-hiking/hikes/fragrance-lake,Fragrance Lake,Puget Sound and Islands -- Bellingham Area,"5.5 miles, roundtrip",950,1050.0,3.66,"
                      (41 votes)
                    ","['Mountain views', 'Old growth', 'Good for kids', 'Lakes', 'Dogs allowed on leash']","
            The year-round, dog-friendly day hike to Fragrance Lake in the Chuckanut Recreation Area is popular with college students and faculty from Western Washington University in nearby Bellingham, and with day visitors and car campers at Larrabee State Park. On a sunny weekend afternoon you could easily lose count of the number of smiles and “hullos” you’ll exchange!
        "
https://www.wta.org/go-hiking/hikes/little-si,Little Si,Snoqualmie Region -- North Bend Area,"3.7 miles, roundtrip",1300,1550.0,3.58,"
                      (145 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Good for kids']","
            Companion piece to neighbor and big brother Mount Si, the small rocky bluff known as Little Si is a moderate grade 4.7 mile trail located in the hike rich North Bend area. Although relatively steep inclines bookend this hike, this primarily North/South route is perfect for beginners who are looking to get back in shape, while still accommodating veterans with opportunities to cut away on the Boulder Garden Loop (at .3 miles and .5 miles) to merge with the more challenging Mount Si trail. Expect crowds, even in winter, as New Year’s resolutions (the two Si mountains are sometimes colloquially referred to as the “Resolution Peaks” for the deluge of hikers that appear after January 1st), proximity to the city and a degree of refuge from the elements often divert heavy foot traffic to this mini-mountain to keep it busy year round.
        "
https://www.wta.org/go-hiking/hikes/45-mile-sheep-drive,45 Mile Sheep Drive,Central Cascades -- Entiat Mountains/Lake Chelan,"4.9 miles, one-way",,3144.0,4.00,"
                      (5 votes)
                    ","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash']","
            Found within the Glacier Peak Wilderness, the 45 Mile Sheep Drive trail begins at the Entiat River Trail, and ends at Emerald Park Trail. It's a 4.9-mile, rugged, primitive trail. As such, it is not regularly maintained and not recommended for stock. It was burned in the 2006 Tinpan Fire and there may be blowdown from this incident. Hikers will find it very steep and some routefinding may be required. 
        "
https://www.wta.org/go-hiking/hikes/lemah-meadow,Lemah Meadow,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.0 miles, one-way",200,3250.0,3.00,"
                      (4 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Rivers']","
            Lemah Meadow is a marshy clearing set at the foot of Lemah Mountain. Although the meadow lies along the Pacific Crest Trail, it is most easily reached by the Pete Lake Trail. A couple of scenic campsites make this a fun alternative to staying at the busy shores of Pete Lake.
        "
https://www.wta.org/go-hiking/hikes/red-top-lookout,Red Top Lookout,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.5 miles, roundtrip",350,5360.0,3.28,"
                      (18 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Old growth', 'Summits', 'Good for kids']","
            Red Top Lookout, built in 1952, restored in 1997, and still operational today, provides a fine bang for your hiking buck. A short, steep trail leads to the functioning fire lookout as well as magnificent 360 degree views of the Stuart Range, Teanaway Ridge, Chelan and Entiat Mountains, Mount Rainier, and even Mount Adams on a clear day.
        "
https://www.wta.org/go-hiking/hikes/iron-horse-tunnel,Palouse to Cascades Trail - The Tunnel,Snoqualmie Region -- Snoqualmie Pass,"5.3 miles, roundtrip",,1100.0,3.57,"
                      (14 votes)
                    ","['Dogs allowed on leash', 'Good for kids']","
            Washington State has a plethora of amazingly beautiful trails for the avid hiker to tread, but how many take you through an old train tunnel more than two miles long? The Snoqualmie Tunnel is part of the 110-mile Palouse to Cascades Trail (formerly the John Wayne Trail). This section is in Iron Horse State Park and is a must do for everyone! Views for most of your trip will be determined by the power of your headlamp, but there will be some sights on the other side. The attraction of this hike is the mysterious, dramatic tunnel itself. However, note that the tunnel is closed November 1st through May 1st, so plan your trip accordingly.
        "
https://www.wta.org/go-hiking/hikes/koppen-mountain,Koppen Mountain,Snoqualmie Region -- Salmon La Sac/Teanaway,"7.0 miles, roundtrip",2300,6031.0,3.43,"
                      (7 votes)
                    ","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Summits', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']","
            The Teanaway is a fabulous drainage with year-round opportunities. Koppen sits on an easily accessed ridge line which lacks the crowds of many of the other hikes in this area. Commanding views of the Stuart Range, and further away, the Pacific Crest make for stunning scenery. Although this trail’s rewards are an end unto itself, it may also easily be combined with numerous other peaks, ridgelines, or drainages for longer loop trails. 
        "
https://www.wta.org/go-hiking/hikes/juanita-bay-park,Juanita Bay Park,Puget Sound and Islands -- Seattle-Tacoma Area,2.0 miles of trails,,,0.00,"
                      (0 votes)
                    ","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']","
            Birdwatchers will delight in the wide variety of winded beasts to see at Juanita Bay Park. The 110-acre urban wildlife habitat area consists of five major plant communities, including wet meadow, marsh, open water and wetland. 
        "
https://www.wta.org/go-hiking/hikes/longs-pass,Longs Pass,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.8 miles, roundtrip",2100,6250.0,4.25,"
                      (12 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Good for kids']","
            Longs Pass provides unbelievable views, but only after an unbelievable amount of elevation gain. In less than 3 miles, you'll climb more than 2000 feet in elevation -- that's quite like climbing a staircase for three miles. It's shady the first half, but soon comes out into an exposed area; bring as much water as you can carry!
        "
https://www.wta.org/go-hiking/hikes/sauk-mountain,Sauk Mountain,North Cascades -- North Cascades Highway - Hwy 20,"4.2 miles, roundtrip",1200,5500.0,4.33,"
                      (39 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits']","
            A popular trail with great views of the Sauk and Skagit river valleys, Cascade mountain peaks, and on a good clear day, the Olympics and San Juan Islands. There will also be plenty of wildflowers to please photographers and hiking plant nerds alike.
        "
https://www.wta.org/go-hiking/hikes/lake-ingalls,Lake Ingalls,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.0 miles, roundtrip",2500,6500.0,4.21,"
                      (80 votes)
                    ","['Ridges/passes', 'Wildlife', 'Dogs not allowed', 'Lakes', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Waterfalls', 'Fall foliage']","
            There's no question why Ingalls Lake is one of the most popular destinations in the Alpine Lakes Wilderness. It is a stunning blue lake, set high in a basin beneath rocky peaks, showcasing striking Mount Stuart as its backdrop. The trail to this treasure is filled with delights, both for the summer adventurer as well as for those hikers who appreciate fall colors. Views of the craggy Esmeralda Peaks, a walk through beautiful Headlight Basin plus a pretty picture of the imposing Stuart Range are just a few of the wonders along the way.
        "
https://www.wta.org/go-hiking/hikes/ingalls-creek,Ingalls Creek,Central Cascades -- Blewett Pass,"14.4 miles, one-way",1450,3450.0,3.65,"
                      (23 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Rivers']","
            This popular trail parallels a thunderous creek on a gentle grade, making for an excellent springtime river romp. 
        "
https://www.wta.org/go-hiking/hikes/heart-o-the-forest,Heart O' the Forest,Olympic Peninsula -- Northern Coast,"4.8 miles, roundtrip",500,1900.0,3.00,"
                      (2 votes)
                    ","['Wildflowers/Meadows', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']","
            This trail is a really nice accompaniment to your morning coffee, but bring a thermos -- it's long enough that the coffee might get cold by the time you reach the end!
        "
https://www.wta.org/go-hiking/hikes/peabody-creek-trail,Peabody Creek Trail,Olympic Peninsula -- Northern Coast,"5.6 miles, roundtrip",800,1100.0,3.50,"
                      (4 votes)
                    ","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids', 'Rivers']","
            Found on the outskirts of Port Angeles, the Peabody Creek Trail starts out from the Olympic National Park Visitors Center and follows Peabody Creek through a quiet wooded ravine for 2.8 miles. It’s an excellent short hike for visitors, locals, and trail runners alike.
        "
https://www.wta.org/go-hiking/hikes/o-o-denny-park,O. O. Denny Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.2 miles, roundtrip",200,220.0,2.00,"
                      (1 vote)
                    ","['Wildlife', 'Dogs allowed on leash', 'Old growth', 'Good for kids', 'Lakes', 'Rivers']","
            The O O Denny County Park has history, hiking and old-growth trees all within the city of Kirkland. See wildlife wandering through the trees, swimming in the creek and flying high in the sky.
        "
https://www.wta.org/go-hiking/hikes/number-two-canyon-trails,Number Two Canyon Trails,Central Washington -- Wenatchee,8.0 miles of trails,1600,,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Dogs allowed on leash']","
            The Number Two Canyon Trails are part of the No. 2 Canyon Project to connect No. 2 Canyon with the Sage Hills and Horse Lake Reserve trails which are part of the Chelan-Douglas Land Trust. While this trail is mostly used by mountain bikers, it is open to hikers and equestrians as well.
        "
https://www.wta.org/go-hiking/hikes/mickinnick-trail,Mickinnick Trail,Eastern Washington -- Spokane Area/Coeur d'Alene,"7.0 miles, roundtrip",2150,4300.0,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Old growth', 'Dogs allowed on leash']","
            This steep hike near Sandpoint has exceptional views and native plant life. Make your way past meadows, around massive rocky outcroppings and beneath towering old growth timber to marvelous views.
        "
https://www.wta.org/go-hiking/hikes/big-tree-ridge,Big Tree Ridge,Issaquah Alps -- Cougar Mountain,"4.2 miles, roundtrip",1340,1430.0,3.20,"
                      (5 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Ridges/passes']","
            This is the most direct entry to Cougar Mountain Regional Wildland Park from Seattle, Issaquah and Bellevue. WTA has done lots of work on Cougar Mountain since 2009, but signage may not be entirely up-to-date.
        "
https://www.wta.org/go-hiking/hikes/suiattle-river-trail,Suiattle River Trail,North Cascades -- Mountain Loop Highway,"13.8 miles, roundtrip",900,2500.0,3.67,"
                      (3 votes)
                    ","['Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']","
            The trail winds its way above the Suiattle River through old-growth forest and some mature forest recovering from an old burn from the 1920’s. The vegetation in the upper Suiattle watershed includes a wonderful mixture of west-of-the-crest/east-fo-the-crest species. 
        "
https://www.wta.org/go-hiking/hikes/poo-poo-point,Poo Poo Point ,Issaquah Alps -- Tiger Mountain,"7.2 miles, roundtrip",1858,2021.0,3.80,"
                      (109 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs allowed on leash']","
            Hike railroad grades dating from the logging era. Cross many small creeks, some of them seasonal. Pass tall trees draped with moss. Enjoy ferns and, in season, forest wildflowers and a few wild berries. Reach a fine viewpoint that's also a favorite launching spot for paragliders.


        "
https://www.wta.org/go-hiking/hikes/poe-mountain-via-little-wenatchee-campground,Poe Mountain via Little Wenatchee Campground,Central Cascades -- Stevens Pass - East,"6.0 miles, roundtrip",,,0.00,"
                      (0 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Summits', 'Established campsites', 'Ridges/passes']","
            Three thousand feet in three miles make the Little Wenatchee a substantial albeit relatively short hike for exercise provided. The trail was the primary supply route to the old Poe Mountain lookout, and like many lookout access trails wastes no time in getting to the top. But it is well built, switchbacking up the hill. The first two-thirds of the hike are in light tree cover, so the views come as a surprise when you get to them.
        "
https://www.wta.org/go-hiking/hikes/packwood-lake,Packwood Lake,South Cascades -- Goat Rocks,"10.0 miles, roundtrip",600,3200.0,3.97,"
                      (31 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Good for kids', 'Lakes', 'Rivers']","
            When most of Washington’s alpine lakes are still snow-covered, Packwood Lake rewards hikers with a relaxing early-season hike ideal for dusting off your boots.
        "
https://www.wta.org/go-hiking/hikes/tiffany-mountain,Tiffany Mountain via Freezeout Ridge,North Cascades -- Pasayten,"4.2 miles, roundtrip",1685,8245.0,4.18,"
                      (11 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Good for kids', 'Ridges/passes']","
            Start at one of the higher trailheads in the state (6560 feet) and follow the trail even higher. In early summer, if the thinner air doesn't take your breath away, the flowers and views will.
        "
https://www.wta.org/go-hiking/hikes/pipestone-canyon-rim-trail,Pipestone Canyon Rim Trail,North Cascades -- Methow/Sawtooth,"9.0 miles, roundtrip",1700,,4.00,"
                      (2 votes)
                    ","['Wildflowers/Meadows', 'Wildlife']","
            Explore a scenic and incredibly varied landscape near Winthrop where you are almost certainly guaranteed to see some of the region’s abundant wildlife.
        "
